place_id,place_name,url,postal_code,address,lat,lon,place_category,last_update_dt
pid_1,Adam Road Food Centre,,289876,"2, Adam Road, S(289876)",1.324159853,103.8141659,,2021-04-03 22:46:02.294312
pid_2,Amoy Street Food Centre,,069111,"National Development Building, Annex B, Telok Ayer Street, S(069111)",1.279339864,103.8466525,,2021-04-03 22:46:02.320626
pid_3,Bedok Food Centre,,469572,"1, Bedok Road, S(469572)",1.320354084,103.9554719,,2021-04-03 22:46:02.346017
pid_4,Beo Crescent Market,,169982,"38A, Beo Crescent, S(169982)",1.288840079,103.82740079999999,,2021-04-03 22:46:02.371306
pid_5,Berseh Food Centre,,208877,"166, Jalan Besar, S(208877)",1.307336537,103.856854,,2021-04-03 22:46:02.396581
pid_6,Bukit Timah Market,,588215,"51, Upper Bukit Timah Road, S(588215)",1.339609749,103.7760889,,2021-04-03 22:46:02.421508
pid_7,Chomp Chomp Food Centre,,557269,"20, Kensington Park Road, S(557269)",1.364223804,103.8665695,,2021-04-03 22:46:02.446822
pid_8,Commonwealth Crescent Market,,149644,"31, Commonwealth Crescent, S(149644)",1.306995341,103.80035649999999,,2021-04-03 22:46:02.472227
pid_9,Dunman Food Centre,,424768,"271, Onan Road, S(424768)",1.309403498,103.9018502,,2021-04-03 22:46:02.497200
pid_10,East Coast Lagoon Food Village,,468960,"1220, East Coast Parkway, S(468960)",1.306905736,103.9351379,,2021-04-03 22:46:02.522102
pid_11,Geylang Serai Market,,402001,"Geylang Serai, S(402001)",1.3167363490000001,103.89822790000001,,2021-04-03 22:46:02.546862
pid_12,Golden Mile Food Centre,,199583,"505, Beach Road, S(199583)",1.303141515,103.8638774,,2021-04-03 22:46:02.572264
pid_13,Holland Village Market & Food Centre,,277700,"1, Lorong Mambong, S(277700)",1.311148964,103.79483379999999,,2021-04-03 22:46:02.599174
pid_14,Kallang Estate Market,,397972,"17, Old Airport Road, S(397972)",1.3073961729999999,103.8841302,,2021-04-03 22:46:02.624802
pid_15,Market Street Food Centre,,048940,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",,,,2021-04-03 22:46:02.859061
pid_16,Maxwell Food Centre,,069184,"1, Kadayanallur Street, S(069184)",1.280537908,103.8444748,,2021-04-03 22:46:02.887351
pid_17,Newton Food Centre,,229495,"500, Clemenceau Ave North, S(229495)",1.312185867,103.8394125,,2021-04-03 22:46:02.913389
pid_18,North Bridge Road Market & Food Centre,,198783,"861, North Bridge Road, S(198783)",1.306140807,103.8640993,,2021-04-03 22:46:02.939261
pid_19,Pasir Panjang Food Centre,,118543,"121, Pasir Panjang Road, S(118543)",1.2756987929999999,103.79162,,2021-04-03 22:46:02.964745
pid_20,Serangoon Garden Market,,555945,"49A, Serangoon Garden Way, S(555945)",1.3627368080000002,103.86616219999999,,2021-04-03 22:46:02.990644
pid_21,Sembawang Hill Food Centre,,574419,"590, Upper Thomson Road, S(574419)",1.372384979,103.82899420000001,,2021-04-03 22:46:03.018887
pid_22,Taman Jurong Market & Food Centre,,618499,"3, Yung Sheng Road, S(618499)",1.334682665,103.7216193,,2021-04-03 22:46:03.046316
pid_23,Tanglin Halt Market,,148813,"48A, Tanglin Halt Road, S(148813)",1.300558071,103.7977194,,2021-04-03 22:46:03.071831
pid_24,Tiong Bahru Market,,168898,"30, Seng Poh Road, S(168898)",1.284685992,103.83242159999999,,2021-04-03 22:46:03.099281
pid_25,Zion Riverside Food Centre,,247792,"70, Zion Road, S(247792)",1.292311133,103.8309733,,2021-04-03 22:46:03.125117
pid_26,ABC Brickworks Market & Food Centre,,150006,"Blk 6, Jalan Bukit Merah, S(150006)",1.2869527490000001,103.808128,,2021-04-03 22:46:03.150721
pid_27,Albert Centre Market & Food Centre,,180270,"Blk 270, Queen Street, S(180270)",1.301091805,103.85412190000001,,2021-04-03 22:46:03.177412
pid_28,Alexandra Village Food Centre,,150120,"Blk 120, Bukit Merah Lane, S(150120)",1.286297808,103.80448929999999,,2021-04-03 22:46:03.203056
pid_29,Blk 1 Jalan Kukoh,,161001,"Blk 1, Jalan Kukoh, S(161001)",1.288231015,103.8399342,,2021-04-03 22:46:03.228263
pid_30,Blk 105 Hougang Ave 1,,530105,"Blk 105, Hougang Ave 1, S(530105)",1.353847285,103.89009420000001,,2021-04-03 22:46:03.254062
pid_31,Blk 11 Telok Blangah Crescent,,090011,"Blk 11, Telok Blangah Crescent, S(090011)",1.277366898,103.8186417,,2021-04-03 22:46:03.279384
pid_32,Blk 112 Jalan Bukit Merah,,160112,"Blk 112, Jalan Bukit Merah, S(160112)",1.28000483,103.82601329999999,,2021-04-03 22:46:03.304821
pid_33,Blk 115 Bukit Merah View,,151115,"Blk 115, Bukit Merah View, S(151115)",1.285504832,103.82204940000001,,2021-04-03 22:46:03.331578
pid_34,Blk 117 Aljunied Ave 2,,380117,"Blk 117, Aljunied Ave 2, S(380117)",1.3207810770000001,103.8867735,,2021-04-03 22:46:03.358385
pid_35,Blk 127 Toa Payoh Lorong 1,,310127,"Blk 127, Lorong 1 Toa Payoh, S(310127)",1.3380927679999999,103.8447317,,2021-04-03 22:46:03.384256
pid_36,Blk 137 Tampines Street 11,,521137,"Blk 137, Tampines Street 11, S(521137)",1.3457861119999999,103.94458890000001,,2021-04-03 22:46:03.409509
pid_37,Blk 159 Mei Chin Road,,140159,"Blk 159, Mei Chin Road, S(140159)",1.293236243,103.8029039,,2021-04-03 22:46:03.436104
pid_38,Blk 16 Bedok South Road,,460016,"Blk 16, Bedok South Road, S(460016)",1.320500838,103.9354736,,2021-04-03 22:46:03.461664
pid_39,Blk 163 Bukit Merah Central,,150163,"Blk 163, Bukit Merah Central, S(150163)",1.283881208,103.8169395,,2021-04-03 22:46:03.487862
pid_40,Blk 17 Upper Boon Keng Road,,380017,"Blk 17, Upper Boon Keng Road, S(380017)",1.3150280570000001,103.8716203,,2021-04-03 22:46:03.515670
pid_41,Blk 20 Ghim Moh Road,,270020,"Blk 20, Ghim Moh Road, S(270020)",1.3109101840000001,103.7882414,,2021-04-03 22:46:03.541516
pid_42,Blk 208B New Upper Changi Road,,462208,"Blk 208B, New Upper Changi Road, S(462208)",1.32478237,103.9305703,,2021-04-03 22:46:03.566866
pid_43,Blk 210 Toa Payoh Lorong 8,,310210,"Blk 210, Lorong 8 Toa Payoh, S(310210)",1.3402160090000002,103.8548726,,2021-04-03 22:46:03.593542
pid_44,Blk 216 Bedok North Street 1,,460216,"Blk 216, Bedok North Street 1, S(460216)",1.327044507,103.93328699999999,,2021-04-03 22:46:03.620008
pid_45,Blk 22 Toa Payoh Lorong 7,,310022,"Blk 22, Lorong 7 Toa Payoh, S(310022)",1.335231501,103.85703609999999,,2021-04-03 22:46:03.645692
pid_46,Blk 226D Ang Mo Kio Ave 1,,564226,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",1.3667877,103.8392314,,2021-04-03 22:46:03.671019
pid_47,Blk 226H Ang Mo Kio Street 22,,568226,"Blk 226H, Ang Mo Kio Street 22, S(568226)",1.367144066,103.84014930000001,,2021-04-03 22:46:03.696488
pid_48,Blk 254 Jurong East Street 24,,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3435162569999999,103.737851,,2021-04-03 22:46:03.721847
pid_49,Blk 29 Bendemeer Road,,330029,"Blk 29, Bendemeer Road, S(330029)",1.3192170890000001,103.8630215,,2021-04-03 22:46:03.747070
pid_50,Blk 320 Shunfu Road,,570320,"Blk 320, Shunfu Road, S(570320)",1.351909349,103.83696529999999,,2021-04-03 22:46:03.772402
pid_51,Blk 341 Ang Mo Kio Ave 1,,560341,"Blk 341, Ang Mo Kio Ave 1, S(560341)",1.364119953,103.8482207,,2021-04-03 22:46:03.797398
pid_52,Blk 347 Jurong East Ave 1,,600347,"Blk 347, Jurong East Ave 1, S(600347)",1.345416481,103.73170390000001,,2021-04-03 22:46:03.822361
pid_53,Blk 353 Clementi Ave 2,,120353,"Blk 353, Clementi Ave 2, S(120353)",1.31437918,103.7709196,,2021-04-03 22:46:03.847546
pid_54,Blk 36 Telok Blangah Rise,,090036,"Blk 36, Telok Blangah Rise, S(090036)",1.2726070329999999,103.82202840000001,,2021-04-03 22:46:03.872850
pid_55,Blk 37A Teban Gardens Road,,601037,"Blk 37A, Teban Garden Road, S(601037)",1.320848359,103.7428917,,2021-04-03 22:46:03.898078
pid_56,Blk 409 Ang Mo Kio Ave 10,,560409,"Blk 409, Ang Mo Kio Ave 10, S(560409)",1.362721747,103.8553507,,2021-04-03 22:46:03.923285
pid_57,Blk 44 Holland Drive,,270044,"Blk 44, Holland Drive, S(270044)",1.3081178,103.7927738,,2021-04-03 22:46:03.948514
pid_58,Blk 448 Clementi Ave 3,,120448,"Blk 448, Clementi Ave 3, S(120448)",1.313060361,103.7645213,,2021-04-03 22:46:03.973521
pid_59,Blk 453A Ang Mo Kio Ave 10,,561453,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",1.368240537,103.8563515,,2021-04-03 22:46:03.998542
pid_60,Blk 49 Sims Place,,380049,"Blk 49, Sims Place, S(380049)",1.317083391,103.879417,,2021-04-03 22:46:04.023404
pid_61,Blk 4A Eunos Crescent,,402004,"Blk 4A, Eunos Crescent, S(402004)",1.320340624,103.9043312,,2021-04-03 22:46:04.048016
pid_62,Blk 4A Jalan Batu,,432004,"Blk 4A, Jalan Batu, S(432004)",1.302354225,103.88397990000001,,2021-04-03 22:46:04.073927
pid_63,Blk 4A Woodlands Centre Road,,731004,"Blk 4A, Woodlands Centre Road, S(731004)",,,,2021-04-03 22:46:04.219097
pid_64,Blk 502 West  Coast Drive,,120502,"Blk 502, West Coast Drive, S(120502)",1.311885959,103.7590809,,2021-04-03 22:46:04.247457
pid_65,Blk 503 West Coast Drive,,120503,"Blk 503, West Coast Drive, S(120503)",1.311742075,103.759812,,2021-04-03 22:46:04.272847
pid_66,Blk 505 Jurong West Street 52,,640505,"Blk 505, Jurong West Street 52, S(640505)",1.349642302,103.7184475,,2021-04-03 22:46:04.298501
pid_67,Blk 50A Marine Terrace,,441050,"Blk 50A, Marine Terrace, S(441050)",1.3057752040000001,103.915762,,2021-04-03 22:46:04.326187
pid_68,Blk 51 Old Airport Road,,390051,"Blk 51, Old Airport Road, S(390051)",1.308251578,103.8858333,,2021-04-03 22:46:04.351845
pid_69,Blk 511 Bedok North Street 3,,460511,"Blk 511, Bedok North Street 3, S(460511)",1.333307375,103.9306985,,2021-04-03 22:46:04.376948
pid_70,Blk 527 Ang Mo Kio Ave 10,,560527,"Blk 527, Ang Mo Kio Ave 10, S(560527)",1.3729619219999998,103.85445959999998,,2021-04-03 22:46:04.402147
pid_71,Blk 538 Bedok North Street 3,,460538,"Blk 538, Bedok North Street 3, S(460538)",1.331796755,103.9250822,,2021-04-03 22:46:04.427592
pid_72,Blk 58 New Upper Changi Road,,461058,"Blk 58, New Upper Changi Road, S(461058)",1.324116104,103.9411538,,2021-04-03 22:46:04.453345
pid_73,Blk 6 Tanjong Pagar Plaza,,081006,"Blk 6, Tanjong Pagar Plaza, S(081006)",1.27655722,103.84321340000001,,2021-04-03 22:46:04.479107
pid_74,Blk 628 Ang Mo Kio Ave 4,,560628,"Blk 628, Ang Mo Kio Ave 4, S(560628)",1.381024948,103.8406824,,2021-04-03 22:46:04.505048
pid_75,Blk 630 Bedok Reservoir Road,,470630,"Blk 630, Bedok Reservoir Road, S(470630)",1.333159299,103.91405400000001,,2021-04-03 22:46:04.530790
pid_76,Blk 69 Geylang Bahru,,330069,"Blk 69, Geylang Bahru, S(330069)",1.32139947,103.8700461,,2021-04-03 22:46:04.556624
pid_77,Blk 7 Empress Road,,260007,"Blk 7, Empress Road, S(260007)",1.3162457440000002,103.80563640000001,,2021-04-03 22:46:04.583055
pid_78,Blk 724 Ang Mo Kio Ave 6,,560724,"Blk 724, Ang Mo Kio Ave 6, S(560724)",1.37219743,103.8465193,,2021-04-03 22:46:04.609843
pid_79,Blk 726 Clementi West Street 2,,120726,"Blk 726, Clementi West Street 2, S(120726)",1.303782033,103.7642645,,2021-04-03 22:46:04.637501
pid_80,Blk 74 Toa Payoh Lorong 4,,310074,"Blk 74, Lorong 4 Toa Payoh, S(310074)",1.3344802470000001,103.8520087,,2021-04-03 22:46:04.664658
pid_81,Blk 75 Toa Payoh Lorong 5,,310075,"Blk 75, Lorong 5 Toa Payoh, S(310075)",1.33598913,103.8529929,,2021-04-03 22:46:04.692898
pid_82,Blk 79 Redhill Lane,,150079,"Blk 79, Redhill Lane, S(150079)",1.287783453,103.81833420000001,,2021-04-03 22:46:04.719336
pid_83,Blk 79 Telok Blangah Drive,,100079,"Blk 79, Telok Blangah Drive, S(100079)",1.273264737,103.8076282,,2021-04-03 22:46:04.746114
pid_84,Blk 80 Circuit Road,,370080,"Blk 80, Circuit Road, S(370080)",1.3278493059999998,103.88712159999999,,2021-04-03 22:46:04.773634
pid_85,Blk 82 Telok Blangah Drive,,100082,"Blk 82, Telok Blangah Drive, S(100082)",1.273849706,103.8079474,,2021-04-03 22:46:04.800881
pid_86,Blk 84 Marine Parade Central,,440084,"Blk 84, Marine Parade Central, S(440084)",1.302296556,103.9063438,,2021-04-03 22:46:04.826591
pid_87,Blk 85 Bedok North Street 4,,460085,"Blk 85, Bedok North Street 4, S(460085)",1.3320577759999999,103.938715,,2021-04-03 22:46:04.852452
pid_88,Blk 85 Redhill Lane,,150085,"Blk 85, Redhill Lane, S(150085)",1.287330837,103.818339,,2021-04-03 22:46:04.878454
pid_89,Blk 89 Circuit Road,,370089,"Blk 89, Circuit Road, S(370089)",1.323445344,103.8854493,,2021-04-03 22:46:04.904476
pid_90,Blk 90 Whampoa Drive,,320090,"Blk 90, Whampoa Drive, S(320090)",1.322943132,103.85513780000001,,2021-04-03 22:46:04.930770
pid_91,Blk 93 Toa Payoh Lorong 4,,310093,"Blk 93, Lorong 4 Toa Payoh, S(310093)",1.338417345,103.849485,,2021-04-03 22:46:04.956946
pid_92,Blks 13/14 Haig Road,,430013/430014,"Blk 13/14, Haig Road, S(430013/430014)",1.3151075209999998,103.89558790000001,,2021-04-03 22:46:04.983612
pid_93,Blks 160/162 Ang Mo Kio Ave 4,,560160/560162,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",1.374282625,103.8389772,,2021-04-03 22:46:05.010900
pid_94,Blks 1A/ 2A/ 3A Commonwealth Drive,,141001/141002/141003,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",1.299713301,103.7978755,,2021-04-03 22:46:05.038668
pid_95,Blks 2 & 3 Changi Village Road,,500002/500003,"Blk 2/3, Changi Village Road, S(500002/500003)",1.389176868,103.9883278,,2021-04-03 22:46:05.065319
pid_96,Blks 20/21 Marsiling Lane,,730020/730021,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434162430000002,103.7770061,,2021-04-03 22:46:05.091421
pid_97,Blks 221 A/B Boon Lay Place,,641221/642221,"Blk 221A/B, Boon Lay Place, S(641221/642221)",1.345169048,103.7128275,,2021-04-03 22:46:05.118976
pid_98,Blks 22A/B Havelock Road,,161022/162022,"Blk 22A/B, Havelock Road, S(161022/162022)",1.287931452,103.8296348,,2021-04-03 22:46:05.145657
pid_99,Blks 79/79A Circuit Road,,370079/371079,"Blk 79/79A, Circuit Road, S(370079/371079)",1.326449969,103.8850436,,2021-04-03 22:46:05.173328
pid_100,Blks 91/92 Whampoa Drive,,320091/320092,"Blk 91/92, Whampoa Drive, S(320091/320092)",1.3232996479999999,103.85420129999999,,2021-04-03 22:46:05.200508
pid_101,Chinatown Market,,050335,"Blk 335, Smith Street, S(050335)",1.282235211,103.84317759999999,,2021-04-03 22:46:05.226584
pid_102,Chong Pang Market & Food Centre,,760104/760105,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.4315267319999998,103.8284199,,2021-04-03 22:46:05.252365
pid_103,Hong Lim Market & Food Centre,,051531,"Blk 531A, Upper Cross Street, S(051531)",1.285295079,103.8458243,,2021-04-03 22:46:05.277976
pid_104,Kovan Market & Food Centre,,530209,"Blk 209, Hougang Street 21, S(530209)",1.3590972669999999,103.8860623,,2021-04-03 22:46:05.304085
pid_105,Pek Kio Market & Food Centre,,211041,"Blk 41A, Cambridge Road, S(211041)",1.316159985,103.85022509999999,,2021-04-03 22:46:05.330533
pid_106,People's Park Food Centre,,050032,"Blk 32, New Market Road, S(050032)",1.284858608,103.8425788,,2021-04-03 22:46:05.356653
pid_107,Tekka Market,,210665,"Blk 665, Buffalo Road, S(210665)",1.30617773,103.85061,,2021-04-03 22:46:05.382630
